Job Title,Count
Kvalitetschef,7
Ungdomsskolelærer,7
Kundeservicechef,7
Biblioteksassistent,7
Bilsynsassistent,7
Audiologiassistent,7
Lager- og logistikelev,7
Køletekniker,7
Datatekniker,6
Klinisk Diætist,6
Guide,6
Greenkeeper,6
Contract manager,6
Revisorassistent,6
Ordrebehandler,6
"Post doc., humaniora",6
Glarmester,6
Kasseassistent,6
Kort- og landmålingstekniker,6
"Lektor, naturvidenskab og teknik",6
"Professor, samfundsvidenskab",6
Virksomhedsudvikler,6
HR-chef,6
"Adjunkt, samfundsvidenskab",6
Industriteknikerlærling,6
Skolekonsulent,6
Vuggestueleder,6
Byggetekniker,6
FVU-lærer,6
"Undervisningsassistent, sundhedsvidenskab",6
Kranmekaniker,6
Webmaster,6
Blomsterdekoratør,6
Socialfaglig leder,6
Finanschef,6
Personalechef,6
Slagterlærling,6
Museumsmedhjælper,6
Eventassistent,6
Låsesmed,6
Kørselsleder,6
Ejendomsserviceteknikerelev,6
Digitaliseringskonsulent,6
Økonoma,6
"Forsker, naturvidenskab og teknik",5
Skrædder,5
Bagerlærling,5
VVS-lærling,5
Gulvlæggerlærling,5
Rektor,5
Familierådgiver,5
Kontrollør,5
Kantineleder,5
Maskinkonstruktør,5
Ordblindelærer,5
Driftsplanlægger,5
Institut- / centerleder,5
Multimediedesigner,5
Familiekonsulent,5
Geotekniker,5
Produktionsplanlægger,5
Kirkesanger,5
Oversygeplejerske,5
"Operatør, bygge og anlæg",5
Molekylærbiolog,5
Portør,5
"Sportstræner, prof.",5
Kommunikationskoordinator,5
Kommunikationschef,5
Business intelligence manager,5
Elektrofagtekniker,5
Trykkeriarbejder,5
"Souschef, institution for børn og unge",5
Finmekaniker,5
FGU-lærer,5
markedsføringsspecialist,5
Landskabsarkitekt,5
"Specialarbejder, VVS",5
Psykiatrisk sygeplejerske,5
Korleder,5
Logistikchef,5
Sanglærer,5
Salgsdirektør,5
Oldfrue,5
Butiksdetektiv,5
Asfaltør,5
Kemiingeniør,5
Statistiker,5
Hardware-udvikler,5
"Operatør, tekstil",5
"Driftsleder, landbrug",5
Webredaktør,4
Havneassistent,4
"Videnskabelig assistent, naturvidenskab og teknik",4
Logistiker,4
Handelsskolelærer,4
Biokemiker,4
Researcher,4
Forsikringsfunktionær,4
"Videnskabelig assistent, samfundsvidenskab",4
Receptionistelev,4
Elektronikfagteknikerelev,4
Garderobeassistent,4
"Tilsynstekniker, fødevarer",4
Renseriassistent,4
Dommer,4
"Associate professor, samfundsvidenskab",4
"Gymnasielærer, samfundsvidenskab",4
"Sagsbehandler, a-kasse",4
Politisk konsulent,4
IT-underviser,4
Produktudvikler,4
Pressesekretær,4
"Afdelingschef, privat",4
"Assistant professor, naturvidenskab og teknik",4
IT-Product owner,4
Fodterapeut,4
Finansanalytiker,4
Neurofysiologiassistentelev,4
Veterinærsygeplejerske,4
Dirigent,4
Cykelbud,4
Campingpladsbestyrer,4
Robottekniker,4
"ph.d., humaniora",4
Dagplejeleder,4
Fiskehandler,4
"Ekstern lektor, sundhedsvidenskab",4
Designer,4
"Arbejdsleder, bygge og anlæg",4
"Operatør, kemisk",4
Rejsekonsulent,4
Servicechef,4
"Servicemedarbejder, foto",4
"Videnskabelig assistent, sundhedsvidenskab",4
Redaktør,4
Laborantelev,4
Bådebygger,4
Lagerforvalter,4
Procesteknolog,4
Webdesigner,4
Elektrotekniker,4
Offshorearbejder,4
Indkøbselev,4
"Undervisningsassistent, folkeskole",4
Bygningsstruktør,4
Højskolelærer,4
Jern- og metalsliber,4
Shippingmedarbejder,4
Naturvejleder,4
Fibertekniker,4
Flisemontør,3
Datateknikerelev,3
Shippingelev,3
Tæppemontør,3
Stylist,3
Politisk medarbejder,3
Jordbrugsteknolog,3
Steward / stewardesse,3
Halinspektør,3
Serviceassistentelev,3
Eventkoordinatorelev,3
Struktør,3
Oversætter,3
Brandinspektør,3
"Ekstern lektor, naturvidenskab og teknik",3
Personlig træner,3
Kursuskoordinator,3
"Assistant professor, samfundsvidenskab",3
Børnepasser,3
"Operatør, plastmager",3
Leder af børne- og ungdomsklub,3
Ambulancefører,3
Skov- og naturteknikerelev,3
Havbiolog,3
Psykoterapeut,3
Yogalærer,3
Audiolog,3
"Operatør, logistik",3
"Videnskabelig assistent, humaniora",3
Teknisk kommunikator,3
"Operatør, emballage",3
Medarbejder på et dyreinternat,3
Klinisk tandtekniker,3
Chefstrateg,3
Advokat,3
Teletekniker,3
Transportchef,3
Bygningsmalerlærling,3
Testingeniør,3
Bore- og udvindingsarbejder,3
Regionschef,3
Vært/Værtinde,3
Postfunktionær,3
"Lektor, humaniora",3
Autoteknolog,3
Kørelærer,3
Fotograf,3
Tegner,3
Museumsinspektør,3
Hotelchef,3
Grafisk tekniker,3
Professor,3
Møbelpolstrer,3
"Associate professor, naturvidenskab og teknik",3
Autolakererlærling,3
Tolder,3
Audiologiassistentelev,3
Skibsassistent,3
Beklædningshåndværkerelev,3
Specialtandlæge,2
Skorstensfejerlærling,2
Arkivar,2
Forsyningsoperatør,2
Scenekunstner,2
IT-revisor,2
"Seniorforsker, sundhedsvidenskab",2
"Idrætsleder, kommunal",2
Danselærer,2
Teknisk designerelev,2
"Undervisningsassistent, humaniora",2
Miljø- og sikkerhedschef,2
Psykomotorisk terapeut,2
Fodermester,2
Filmfotograf,2
Vagtcentralassistent,2
Skibsbygger,2
Skovfoged,2
Ministerialbetjent,2
Overstyrmand,2
Sikkerhedschef,2
"Operatør, pharma",2
Grafisk designer,2
Laboratorietekniker,2
Rustfast industrimontør,2
IT-Product manager,2
Skibsingeniør,2
Landbrugselev,2
Dommerfuldmægtig,2
Geolog,2
Byggemontagetekniker,2
Finanselev,2
Information- og videnchef IT,2
Alternativ behandler,2
"Professor, humaniora",2
Efterskoleforstander,2
Motorcykelmekaniker,2
Forskningschef,2
Agronom,2
Programchef,2
"Ekstern lektor, kunstakademi",2
Telefonist,2
Mentor,2
Neurofysiologiassistent,2
Teatermedarbejder,2
Glarmesterlærling,2
IT-produktejer,2
"Adjunkt, kunstakademi",2
Medicotekniker,2
"Ekstern lektor, humaniora",2
Fræser,2
Vagtcentralmedarbejder,2
"Civilingeniør, IT",2
Vindmølleoperatør,2
Turistguide,2
Fødevareteknolog,2
"Koordinator, hotel",2
Advokatsekretær,2
"Forsker, professionshøjskole",2
Import- og eksportmedarbejder,2
"ph.d., kunstakademi",2
Inkassomedarbejder,2
Køleteknikerlærling,2
"Lektor, professionshøjskole og erhvervsakademi",2
Havnefoged,2
Laboratorieleder,2
"ph.d., teologi",2
"Chauffør, dyretransport",2
Skatterevisor,2
Grafikerelev,2
Museumsbetjent,2
Støberitekniker,2
Sygehusdirektør,2
"Operatør, glas",1
Fotografelev,1
Gastekniker,1
Billetsælger,1
Fritidsklubleder,1
Fiskeindustriarbejder,1
"ph.d., professionshøjskole og erhvervsakademi",1
Au pair,1
Tømrerlærling,1
"Organist, kantor",1
Bibliotekschef,1
Hundefrisør,1
Flytekniker,1
Modelkonstruktør,1
Veterinærsygeplejerske-elev,1
Lægesekretærelev,1
Datalog,1
Designteknolog,1
Indretningsarkitekt,1
"Adjunkt, humaniora",1
Pantefoged,1
Cykelhandler,1
Dyrepasserelev,1
Fængselsfunktionær,1
Hospitalsfysiker,1
"Specialarbejder, tekstil",1
Keramiker,1
IT-produktchef,1
GIS-tekniker,1
Flyteknikerlærling,1
Visual merchandiser,1
Havearkitekt,1
Arrangementchef,1
Klaverstemmer,1
Bygningstruktørlærling,1
"Film-, TV- og animationsarbejder",1
Databeskyttelsesrådgiver,1
"Kontorelev, revision",1
Chaufførelev,1
Instrumentbygger,1
"Seniorforsker, humaniora",1
Kunstnerisk leder,1
Serviceøkonom,1
"Souschef, institution for ældre",1
Shippingassistent,1
Tekster,1
Assurandør,1
Musikterapeut,1
Producer,1
Regnskabselev,1
Forsikringselev,1
Kustode,1
Telekommunikationsingeniør,1
Speditionsleder,1
Bademester,1
Copywriter,1
Skovbrugsrådgiver,1
"Kvalitetsmedarbejder, nærings- og nydelsesmiddel",1
Korrekturlæser,1
Skibsmaskinist,1
Bevægelsespædagog,1
Purser,1
Konservator,1
Kunstner,1
Havnearbejder,1
